	observed_otus
1939.SKBTI.1104.cropped.filtered.nonchimera.fasta	212
1939.SKBTI.0286.cropped.filtered.nonchimera.fasta	241
1939.SKBTI.0204.cropped.filtered.nonchimera.fasta	156
1939.SKBTI.0191.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.0626.cropped.filtered.nonchimera.fasta	176
1939.SKBTI.1185.cropped.filtered.nonchimera.fasta	145
1939.SKBTI062.cropped.filtered.nonchimera.fasta	165
1939.SKBTI.0242.cropped.filtered.nonchimera.fasta	181
1939.SKBTI.1226.cropped.filtered.nonchimera.fasta	204
1939.SKBTI.1258.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0188.cropped.filtered.nonchimera.fasta	182
1939.SKBTI.1222.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0258.cropped.filtered.nonchimera.fasta	210
1939.SKBTI.0953.cropped.filtered.nonchimera.fasta	126
1939.SKBTI.1063.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.1193.cropped.filtered.nonchimera.fasta	196
1939.SKBTI.0147.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.1130.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.1105.cropped.filtered.nonchimera.fasta	194
1939.SKBTI.1324.cropped.filtered.nonchimera.fasta	64
1939.SKBTI058.cropped.filtered.nonchimera.fasta	146
1939.SKBTI.1283.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0870.cropped.filtered.nonchimera.fasta	188
1939.SKBTI.1127.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0566.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.0174.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0492.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.0675.cropped.filtered.nonchimera.fasta	102
1939.SKBTI.1346.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.1340.cropped.filtered.nonchimera.fasta	106
1939.SKBTI.1282.cropped.filtered.nonchimera.fasta	79
1939.SKBTI.0246.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.0190.cropped.filtered.nonchimera.fasta	167
1939.SKBTI.1034.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.0956.cropped.filtered.nonchimera.fasta	177
1939.SKBTI.0170.cropped.filtered.nonchimera.fasta	88
1939.SKBTI.0444.cropped.filtered.nonchimera.fasta	179
1939.SKBTI.0676.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.0208.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.0150.cropped.filtered.nonchimera.fasta	160
1939.SKBTI066.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.1058.cropped.filtered.nonchimera.fasta	156
1939.SKBTI.0238.cropped.filtered.nonchimera.fasta	175
1939.SKBTI.0658.cropped.filtered.nonchimera.fasta	237
1939.SKBTI.0285.cropped.filtered.nonchimera.fasta	103
1939.SKBTI.1348.cropped.filtered.nonchimera.fasta	70
1939.SKBTI.0499.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.0603.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.1024.cropped.filtered.nonchimera.fasta	95
1939.SKBTI.1236.cropped.filtered.nonchimera.fasta	140
