# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	115.0	236.0	350.0	136.0	94.0	1731.0	683.0	162.0	0.0	0.0	1142.0	321.0	171.0	94.0	328.0	225.0	1028.0	66.0	8.0	157.0	277.0	166.0	192.0	283.0	271.0	226.0	123.0	294.0	576.0	0.0	489.0	0.0	2765.0	450.0	7.0	780.0	110.0	709.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.0	0.0	0.0	0.0	11.0	6.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	48.0	4.0	6.0	0.0	0.0	0.0	4.0	4.0	48.0	2.0	3.0	0.0	1.0	18.0	0.0	12.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.0	0.0	0.0	3.0	5.0	11.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	9.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	3.0	0.0	5.0	5.0	20.0	6.0	37.0	1.0	0.0	13.0	9.0	4.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	12.0	7.0	5.0	24.0	5.0	19.0	4.0	4.0	5.0	13.0	6.0	45.0	2.0	3.0	21.0	8.0	18.0	31.0	32.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	40.0	159.0	55.0	141.0	65.0	4.0	14.0	77.0	22.0	0.0	134.0	0.0	0.0	0.0	23.0	27.0	81.0	42.0	1.0	25.0	260.0	285.0	25.0	46.0	0.0	161.0	194.0	10.0	0.0	34.0	21.0	0.0	0.0	27.0	13.0	38.0	0.0	15.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.0	940.0	155.0	3376.0	0.0	0.0	354.0	363.0	1.0	1732.0	0.0	171.0	426.0	848.0	33.0	1626.0	34.0	0.0	6467.0	6.0	1.0	0.0	867.0	1.0	132.0	640.0	3302.0	7569.0	675.0	859.0	51.0	1036.0	447.0	25.0	1324.0	1.0	5670.0	10433.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	3.0	23.0	38.0	0.0	0.0	17.0	18.0	0.0	3.0	10.0	1.0	79.0	9.0	112.0	88.0	363.0	2.0	5.0	171.0	48.0	15.0	5.0	303.0	131.0	14.0	17.0	164.0	12.0	2.0	10.0	0.0	4.0	227.0	23.0	238.0	11.0	722.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	65.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6601.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	678.0	229.0	2.0	0.0	0.0	0.0	1.0	4.0	13.0	0.0	0.0	0.0	797.0	0.0	25.0	4.0	0.0	212.0	31.0	0.0	2131.0	90.0	0.0	0.0	0.0	241.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	156.0
