X.OTU.ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13	taxonomy
180257	10	0	0	0	0	2	1	0	1	0	4	1	1	0	0	1	0	2	0	0	2	0	1	0	0	0	0	5	0	0	0	0	0	2	0	11	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
183817	0	0	118	0	0	0	43	0	0	0	25	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	19	115	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
323619	2	1	0	0	0	0	12	0	0	0	82	127	0	0	0	33	0	0	1	0	0	0	0	721	0	0	70	0	22	0	0	0	0	24	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
731707	0	0	0	3	5	2	5	0	0	1	3	0	0	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	1	9	0	0	0	3	0	4	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
166355	4	12	0	2	0	13	13	0	0	0	11	1	2	6	1	0	0	0	0	0	1	6	0	2	26	0	6	7	0	0	0	0	0	0	0	0	3	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2833757	0	0	0	0	1	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2549971	0	0	0	0	20	57	3	0	0	0	9	0	1	0	0	48	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
179677	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	10	4	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
4008139	6	11	46	0	0	0	0	0	0	0	3	0	8	15	0	2	0	19	0	17	30	4	2	12	4	0	0	1	0	84	0	0	0	29	2	6	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
1971819	0	0	1	0	0	0	0	0	1	0	0	1	3	9	12	11	0	0	3	0	0	0	0	1	0	0	2	3	0	0	0	0	15	0	5	0	45	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
4466843	0	0	4	0	0	0	1	0	0	2	0	0	1	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	256	0	0	0	16	0	0	0	8	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
195556	0	0	0	0	0	0	21	0	0	1	10	13	0	0	2	0	0	0	0	3	35	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
4319972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Paludibacter; s__
199091	0	0	6	3	8	22	9	3	3	0	7	57	0	0	35	0	33	1	0	7	0	1	14	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4476561	0	0	49	0	36	0	0	446	0	0	0	0	270	0	0	0	0	18	0	76	0	0	199	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__
4315066	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	22	0	0	2	1	0	0	0	0	0	4	0	4	18	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__
187973	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
195081	1	0	4	0	0	36	2	0	3	0	33	0	0	6	7	6	0	24	0	0	61	3	23	36	19	1	0	0	0	1	0	0	0	0	1	2	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
4356080	331	0	56	0	0	4	87	0	0	0	317	0	0	3	0	454	0	0	31	0	0	553	0	6	0	0	491	372	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__
185420	7	0	0	0	0	0	0	3	0	0	13	0	1	0	2	0	4	4	0	4	13	0	3	0	0	4	0	8	0	0	0	0	0	2	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1742070	1	8	1	7	0	0	0	17	0	275	0	25	0	0	0	0	52	0	0	0	2	0	18	24	0	10	0	0	0	41	4	3	62	83	3	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
362568	5	0	0	4	0	14	0	0	3	6	0	1	1	0	0	0	0	0	0	0	5	1	0	30	3	0	7	0	0	0	3	0	0	0	0	1	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
1066410	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
582630	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
346666	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	931	0	0	0	119	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__perfringens
1097593	0	2	2	0	0	0	4	0	0	0	1	0	0	12	0	0	2	0	2	7	0	3	0	0	0	0	15	1	0	0	0	0	0	0	0	0	1	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
4391161	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	50	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
3392013	0	0	0	0	0	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	91	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
540086	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
532388	0	5	6	0	0	0	11	0	1	3	0	0	0	1	0	0	1	0	5	10	7	0	0	0	0	0	0	5	0	3	0	0	19	0	2	1	12	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
363692	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
195177	0	1	3	0	0	5	12	0	5	0	10	14	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	7	0	1	0	0	2	0	4	10	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
194360	0	0	0	0	0	903	411	0	0	0	434	165	0	0	127	0	540	0	0	46	0	0	0	0	0	0	0	0	329	0	241	0	1377	260	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
521558	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
176332	0	0	0	1	0	8	0	0	0	0	5	1	1	0	1	0	0	5	0	1	2	3	1	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4434268	0	10	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Pseudoramibacter_Eubacterium; s__
513010	0	0	0	0	2	0	2	0	0	0	3	0	6	1	0	3	0	0	0	0	0	11	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4350499	0	0	0	0	2	0	4	1	0	2	0	0	2	0	0	0	0	0	2	12	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
72142	0	0	0	0	0	0	2	0	0	0	7	0	0	0	2	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
