	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
M00016	1.1353499265	0.9843959995	0.9907464326	1.2985435928	1.1069119660	0.8600674050	0.9401496489	0.9614551382	1.0585640545	1.1118578282	1.0102822046	0.9527169173	1.0367342220	1.3041360889	0.9626326289	1.0827331340	1.3211309675	1.2505299614	0.8582044164	1.0487242183	0.8237454928	1.1543418499	1.0485362272	1.1361898943	1.0238590937	1.1871745624	0.9515740571	0.8741310531	0.9097215497	1.0287446831	1.0777559315	0.8079001103	1.0900555957	0.8728530500	1.3051288603	1.0611767275	1.3217970214	1.0779873499
M00017	1.0216473850	0.8436066165	0.8534061979	1.1885853106	0.9491413637	0.6681709020	0.8835547079	0.8025110547	0.9516768341	0.7844376537	0.7235199454	0.7608093365	0.9653690640	0.9323297662	0.7909566112	0.9054816232	1.2711089503	0.9084442093	0.5438608815	0.8660576586	0.7814034156	0.9021524504	0.8037916365	1.0621626472	0.9008114627	1.1774607284	0.8548472670	0.9278336097	0.7800900728	0.8209242730	0.9729695645	0.7537440813	0.8735437984	0.5382516583	0.9386121721	0.7858681843	1.2718504707	0.8390210470
M00018	0.9127234870	0.7475202888	0.7728528213	0.9553615205	0.8581290521	0.6660621584	0.8003530826	0.7732494269	0.9001554698	0.8535329535	0.6504578413	0.6835028401	1.0116002987	0	0.7753398322	0.8480918784	1.1768160295	0.9784399676	0.6723664170	0	0.6418984175	0.9744294631	0	1.0950306331	0.8460813387	0.8610550257	0.8453893694	0.9126879256	0.7938751865	0.7859136740	0.9361468009	0.6142170173	0.8189817080	0	0	0.7576408597	1.1776600118	0.8013982513
M00019	1.4736315776	1.2235273265	1.5822227292	1.4166798008	1.2790207025	0.8814203624	1.2295052375	1.1447957499	1.2382583132	1.1402197467	1.3949096213	1.1093359160	1.3714300897	1.6150823250	1.1429852489	1.6565050086	1.4144269247	1.2720447875	1.2910592788	1.4032932769	1.7670983665	1.5849204611	1.4952822785	1.3896783138	1.2265013584	1.8148251263	1.2570087949	1.4184323919	1.2814698625	1.2644222951	1.1252973826	1.1603362752	1.1265605348	0.9658455357	1.8461369355	1.0379595630	1.4146129728	1.1669294842
M00020	0.9969446873	0.9492360493	0.9228610868	1.4349134688	0.9958590571	0.9674204041	1.1551893689	0.8945983296	1.0274452937	0.8551661597	0.8179667243	0.9547871102	1.2294588614	1.7174615677	1.1706592569	1.0670907129	1.1307962237	1.4105069142	0.9427805404	1.1972325654	0.9452045874	1.2271111817	1.2696448431	1.0482437250	0.9779894292	1.4338477919	0.9997780824	1.0493389686	1.1646365460	0.9393529195	1.1271485097	1.0937311238	1.2879126734	1.5120773358	1.9339177468	1.0480047193	1.1309449642	1.1797965979
M00021	0.7231054174	0.8629092639	0.6080408981	0.7219482404	0.8390064998	0.5896952310	0.9138214754	0.8244307454	0.9962060599	0.4842888764	0.7893973266	0.9781660186	0.8839883707	1.3759748765	0.6043035130	0.7619824846	1.3229241563	0.7854414937	0.9019424139	0.6436283003	0.3483414949	1.0642929825	1.1530915784	0.9338401669	0.7802269342	1.1898920858	0.7702147678	1.0078355155	1.0030088864	0.7491953381	0.9089975594	0.6509708397	1.0332390695	0.9238451730	0.9153451187	0.7765395905	1.3230981685	0.9251303443
M00022	1.0431031518	0.7228451764	0.9947216815	0.9216248278	0.9560107130	0.6174870734	0.7686878987	0.8047443106	0.8948291049	0.7544159582	0.8093315226	0.7319183854	1.0591320009	1.3700248131	0.7971488012	0.8329034816	1.1181490384	0.7728512680	0.7060884184	1.0833623859	0.7463121998	0.7491582759	0.9275536981	0.9712017153	0.8350506714	0.7616274917	0.7649114325	1.0422910493	0.8393515337	0.7604149978	0.8610132547	0.7093648026	0.6392634106	0.5984473046	1.1888416953	0.7616207434	1.1182955796	0.8458774742
M00023	0.7150011012	0.7647377410	0.5939024396	0.5326978270	0.7064094104	0.4725782143	0.5385948359	0.6211106392	0.8049925713	0.5154130766	0.6136090998	0.6464787173	0.6708973006	0.5502574515	0.5971622719	0.6889123961	0.6404659158	0.7588339042	0.8220247873	0.4458707307	0.2788094597	0.5250599105	0.1777621126	0.6961237584	0.6113824174	0.7185144939	0.5863526370	0.6575089098	0.6216826595	0.7092947938	0.7120570357	0.7195235301	0.9490599866	0.7842993543	0.2474208596	0.5491184346	0.6405501602	0.7106346592
M00024	0.4823327998	0.3287074027	0.3428063854	0.1986840265	0.3180312155	0.2727817998	0.2752393184	0.3791371241	0.3635718271	0	0.2536843134	0.3468234299	0.2934126263	0	0.2790450354	0	0.1989003126	0.3277693557	0.2022801355	0	0	0.2350036758	0	0.4015405926	0.3483870998	0.2580077734	0.3419979959	0.3921079143	0.3438411079	0.3698957627	0.3715617180	0.2852492987	0	0.2652079469	0	0.2818039301	0.1989264751	0.3789416012
M00025	0	0.3733187351	0.4425710790	0	0.3395521154	0.3395782054	0.3276801230	0.4296653827	0	0.1796776399	0.2297927420	0.4007964924	0	0	0.3747490435	0	0	0.3584969254	0	0.2056568294	0	0	0	0	0.4190494937	0	0.4045908616	0	0.3976695067	0.3611896358	0.4580834540	0	0.3211230795	0	0	0	0	0.4229936887
