	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
ko00250	1.1595171949	1.1255440651	0.8876433617	0.8886777072	0.8801653512	0.7328263247	0.9783113896	0.9554044543	1.0363788588	0	1.0093579852	0.9370930799	0.9900521552	0	0.9092692291	0.9044476837	0	0.9965742601	0	0	0	0	0	1.1302995040	0.9853739508	1.1069096940	0.9821772473	0.9203733077	0.9975507155	1.0546341751	0.9938936588	1.0223309914	0	0	0	0.9416558385	0	1.0516013486
ko00260	0.5158586487	0.5441746230	0.4754903753	0.6531684006	0.6060252637	0.4062674614	0.4978813746	0.5247491691	0.6260169935	0.3350163227	0.4496479517	0.4684158447	0.6241245992	0.5689415937	0.5093397805	0.4857256189	0.6490434770	0.6502929324	0.3856167663	0.4147646357	0.3767622969	0.4018203154	0.3583399848	0.7143814727	0.5954969322	0.5978795155	0.5231987327	0.5185656370	0.5213177948	0.5062544217	0.5654887531	0.5019090073	0.5366569714	0.5459826931	0.4209767145	0.4699697659	0.6492252398	0.5582354992
ko00270	0.6482878799	0.6003934799	0.6116439699	0.6164960177	0.6553619937	0.4746275741	0.5975430340	0.5792737558	0.6335396253	0.4766426679	0.5810573120	0.5723477279	0.6669766634	0.5934892539	0.5379126236	0.5399660435	0.7016781676	0.6509101759	0.4606455316	0.5765177328	0.4884761079	0.5463950441	0.6435289097	0.6779959976	0.6171397504	0.6969149159	0.5924778478	0.7429428375	0.5802708656	0.6117935517	0.6276003844	0.5625062599	0.5308324891	0.4723351256	0.6242368381	0.5135412123	0.7018733859	0.5823454035
ko00280	0	0.2801126699	0	0	0.2692737753	0.1294488717	0.2038171419	0.2385717919	0.2857773039	0.1671408279	0.2061946867	0.2285787180	0.2243864984	0	0	0	0	0.2313426755	0	0	0.1867230042	0	0	0.3146298556	0.2649828255	0.2979664489	0.2118984104	0	0.2068219227	0.2377360311	0.2687988688	0.2220473933	0	0	0	0.1741179936	0	0.2538584275
ko00281	0	0	0	0.1953180041	0	0	0	0	0	0	0	0	0	0.0895708014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00290	1.2494237433	1.1369268558	1.3725234987	1.3473311162	1.1909493337	0.8889331333	1.1352940219	1.0685124846	1.1750571539	1.0371837620	1.2388010225	0.9933271727	1.2227213910	1.3273858220	1.0795110726	1.3657806158	1.3404277636	1.1470071019	1.0763854170	1.2399345817	1.4664063795	1.3356282866	1.2958053811	1.3045760916	1.1201129494	1.5541718347	1.1599100411	1.2506332534	1.1474077504	1.1578902321	1.0579585983	1.0912623626	1.0650203317	1.0476043592	1.5040200339	0.9523078762	1.3406040782	1.1372251862
ko00300	0.8146692216	0.7200214848	0.7125710087	0.6701960149	0.6915374859	0.5760784358	0.7193382113	0.7242950110	0.7321342050	0.5463548034	0.7210518539	0.7458370741	0.6964086887	0.8219309336	0.6945758036	0.7183047085	0.8733482514	0.8498050329	0.5878299613	0.6568972270	0.6497633065	0.7309527631	0.7656505828	0.7593234686	0.7505149083	0.6279508722	0.7261560396	0.7007375390	0.6988628074	0.7471906009	0.7425551923	0.6712640139	0.6617499934	0.7736813847	0.4567951011	0.7606075147	0.8736513618	0.7423663788
ko00310	0.0335316259	0.0918423727	0.0490890429	0	0.1791133057	0.0633378297	0.0868860716	0.0914134045	0.1509632897	0	0.0926892931	0.0770885179	0.1085841863	0.1870134121	0.1017217249	0	0.1497018380	0.1200646471	0	0	0	0	0.0894765457	0.2316761889	0.1539779120	0.1420775058	0.0881721143	0.1342714519	0.0767365260	0.0770111924	0.0877441070	0.0597716291	0.0186665234	0.0928217995	0.1910517415	0.0843007813	0.1497215292	0.0902381644
ko00311	0.2389741322	0.1346901550	0	0	0.1589958070	0.0375904594	0	0.1573018371	0.1897426434	0.2349086929	0	0.0630414045	0	0	0.0938820484	0	0	0.3280840088	0	0	0	0	0	0.2126963440	0.1146057753	0	0.1177576539	0.1060325444	0.0829641280	0.1015333785	0	0.1178208768	0	0.1083072764	0	0.1559822610	0	0.1153616497
ko00330	0.4523172616	0.4598060816	0.3842999567	0.3774160272	0.3862735425	0.3056508113	0.3853059195	0.3944981459	0.4363450902	0.2255500263	0.3891546311	0.3930252693	0.4228369504	0.3187575431	0.4106360115	0.3420588608	0.4452242702	0.4504344673	0.2347131506	0.3422208978	0.3046324549	0.2916304917	0.3675148824	0.4832997624	0.4395732517	0.4184643643	0.4018136208	0.3902647005	0.4157235892	0.4230314479	0.3948840049	0.3891943116	0.3954948744	0.4274359975	0.3647546277	0.3571250550	0.4452889588	0.4410011468
ko00340	0.8489605186	0.8400011917	0.6809513374	0.2980125530	0.5461120014	0.5025124511	0.6884009932	0.7361449806	0.7475634841	0.3869641760	0.7707131922	0.7139606159	0.6597769004	0.5003318132	0.6564154776	0.5979740230	0.8046514692	0.7691729862	0.5410550744	0.6975639004	0.5278967869	0.6074982359	0.6217249916	0.7352242841	0.7263189487	0.8358918055	0.7733405704	0.6798152863	0.8307739057	0.7212479514	0.7898639769	0.7050076270	0.8148551834	0.6433233638	0.4063083611	0.7050386967	0.8047573099	0.8179924402
ko00350	0	0	0	0	0.2536874227	0	0	0	0	0	0	0	0	0	0	0.2453331955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2427687920	0	0	0	0	0	0	0
ko00360	0.2337822029	0.1907987684	0.1263918345	0.1163651629	0.2217200749	0.1080820311	0.1237493185	0.1548911958	0.1832937764	0.1075388659	0.1207934949	0.1615926444	0.1847991786	0.0442180438	0.1414908705	0.1639527551	0.1271640621	0.1909366614	0.0833890801	0.1624717691	0.1560192264	0.0566701529	0.0701275359	0.2202899514	0.1720161096	0.1485660051	0.1731057068	0.1546029785	0.1433512110	0.1628340208	0.1906891047	0.1549000196	0.1604322812	0.2422230819	0.1044125399	0.1704709774	0.1271807888	0.1600759463
ko00361	0	0	0	0.1184406474	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0248383295	0	0	0	0	0	0.0690221123	0	0	0	0	0	0	0	0	0	0	0.1426716456	0	0	0
ko00362	0.0529816311	0.0922871098	0.0837175967	0.0887322816	0.1319486544	0.0718601841	0.0923165432	0.0778246755	0.0822835875	0.1763231338	0.0815919177	0.0957969519	0.0882225620	0.0735178148	0.0644881390	0.0836804341	0.0792106119	0.1102603111	0.0596561121	0.0617772802	0.0582288942	0.0868070253	0.0255448908	0.1213430627	0.0962367611	0.1120594075	0.0784873019	0.1304710798	0.0680166352	0.0773223983	0.0993289320	0.0924116055	0	0	0	0.0539424392	0.0792210309	0.0803320939
ko00363	0	0	0	0	0	0	0	0	0	0	0	0	0.2489781134	0	0	0	0	0	0	0	0	0	0	0.4641620235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00364	0	0	0	0	0.0307124491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0472312621	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00400	0.6129400379	0.5274645229	0.5508621418	0.3668504111	0.5411001009	0.3973412086	0.4634782300	0.5030695880	0.5647384481	0.3801809799	0.4836187568	0.4870028932	0.5849764926	0.4336121243	0.4885997001	0.4354712410	0.4917457677	0.5407347485	0.4225643965	0.4588828369	0.3342786918	0.3636147757	0.2801993528	0.5758161230	0.5323855883	0.4671394707	0.4997320058	0.5793795352	0.5100744012	0.5335589249	0.5578445998	0.4617482156	0.5016214392	0.4606197925	0.3613916169	0.4602603569	0.4918103290	0.5392313686
ko00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2057153549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00430	0.3192910302	0.4847445905	0.3219183249	0.5486044204	0.5451174007	0.2809176782	0.4026229359	0	0.5449711740	0	0.4524468165	0.3287078603	0	0	0.3722337773	0	0.5267626501	0.4041726539	0	0.2905265017	0	0	0	0.5651824194	0.4601350613	0	0.3842347702	0	0.4039656668	0	0.4387197004	0.4859489264	0.4700088842	0	0.4380452523	0	0.5268319383	0.3950395450
ko00440	0.1302371921	0.1765986084	0.1011792185	0	0.1143714695	0.0676928971	0.1047778339	0.1414216560	0.1308890468	0.0298849218	0.0797731926	0.0768893605	0.2219547279	0.1373909190	0.1718162597	0.1472347253	0.1452393865	0.2101440415	0.0945738575	0.1468361308	0.0881146965	0.1401915468	0.2205255882	0.1221509586	0.1396030931	0.1711359492	0.1432159102	0.1677606309	0.1954019562	0.1707425095	0.1200123875	0.1296797843	0.1797006415	0.1652363557	0.0820186980	0.0570993268	0.1452584907	0.1480808135
ko00450	0	0.7769332934	0.7819010488	0	0.7315939000	0.5503113472	0.7194481324	0.7038817443	0.7879098285	0.4033985271	0	0.7653014787	0.6455183206	0.8347435851	0.7115375517	0.7903911354	0	0.8435311834	0.5825143291	0	0.7673712847	0.7409908429	0.8082368150	0.8404308722	0.7342404201	0	0.7049030774	0.7730360412	0.7285848974	0.7311664873	0.7427552468	0.7471241966	0	0	0	0	0	0.8441390948
ko00471	1.2545336165	1.1676637269	0.7488782376	1.0182669598	0.7988878968	0.6482497227	1.0198685082	0.8716680653	1.0148152018	0.5241710729	0.8689179341	0.9794370324	0.9558088510	1.0230794916	1.0641924506	1.0044257264	1.2185647195	1.0749552218	0.9623151890	1.2218574651	1.0127243215	1.0496009582	1.2837286495	1.1645971344	0.8390310047	1.1046164629	0.9326712303	0.8933519403	0.9408162897	0.9344305671	0.9783851421	1.0390304301	1.0592160239	1.4976491488	1.2956891725	0.8410959928	1.2187250047	0.9572793506
ko00472	0	0	0	0	0	0	0.1151442765	0.0989893357	0	0	0	0	0	0	0	0	0	0.2000042914	0	0	0	0	0	0	0	0	0.0738663519	0	0	0	0.0573483691	0	0	0	0	0	0	0
ko00473	0.5395380091	0.5593335835	0.6900459475	1.1529283180	0.7939374415	0.4552756080	0.5481074749	0.5460341591	0.7045620371	0.3793041200	0.6577902878	0.6171089563	0.6796415536	0.7134090191	0.7400888969	0.5911542044	0.4618371661	0.7100647624	0.5765500137	0.6826968081	0.5706428477	0	0.5107326309	1.0038950161	0.6299817979	0.4465179711	0.5293743360	0.7562820002	0.6468645349	0.6273284363	0.5900184772	0.6290201286	0.6335731951	0.6030896640	1.5525103338	0.4028448001	0.4618470639	0.4373336017
ko00480	0.2566427682	0.2500241715	0.1474158980	0.2697395693	0.3633186270	0.1158979929	0.1706131933	0.2012321018	0.3475026401	0.2062203504	0.1283177937	0.1504644573	0.2396673256	0	0.2108183443	0.2711438868	0.2170126969	0.2876325574	0.1719367218	0.0938605579	0	0.1329191856	0	0.4206008902	0.2497782083	0	0.2067473289	0.2038412806	0.2184343098	0.2032815556	0.2446758602	0.2410520770	0.2318978395	0.2366032582	0.3763745865	0.2315968640	0.2170412419	0.2298092729
ko00500	0.6122472321	0.6064736328	0.5152359730	0.6314805900	0.5761379398	0.4084216127	0.5240022052	0.5598951383	0.5634512297	0.3307833336	0.5765733165	0.5173921681	0.5381839161	0.5944494309	0.4803146012	0.5006536453	0.6990266721	0.5181690871	0.4102686207	0.5253933592	0.6190355278	0.4625967780	0.5594251793	0.6341584739	0.6352610690	0.7215872427	0.6100040856	0.5390995642	0.5550991588	0.5395109223	0.6991323142	0.5464285483	0.5862163232	0.5687436682	0.6742456028	0.5245124632	0.6991186193	0.5449387881
ko00510	0.0403587233	0.0369937242	0.0284555100	0	0.0312406180	0.0209038340	0.0400723551	0.0362134269	0.0406777974	0.0301943544	0.0412715336	0.0330481427	0.0392506805	0.0481980607	0.0310196516	0.0327323550	0.0451344178	0.0296441993	0	0.0299355316	0	0	0	0.0223350288	0.0286056773	0.0489474225	0.0360781517	0.0184396808	0.0319208732	0.0462410769	0.0475509227	0.0240935854	0	0.0876673061	0	0.0376160019	0.0451403546	0.0426492320
ko00511	2.1745074519	2.3690784262	1.1566113591	0.5825797908	1.0624030014	0.8470565590	1.0126089075	1.8249865493	2.0794857201	0.3273744859	1.5402828084	1.4716781634	1.4175907146	1.1551402865	1.5320342055	1.1364255643	1.0801615862	1.7105236761	0.8828178407	1.0796697311	1.1436052313	0.7023426014	0.9339462578	2.0453744787	1.5548027998	1.5185118269	1.5055904128	1.3050552387	1.6279194831	1.7463068037	2.0134367714	1.6932844500	2.5410478845	2.0293077171	0.3875550924	2.0696981443	1.0802560462	1.9092521835
ko00520	0.7733250124	0.7427217546	0.5789523938	0.6826893913	0.7053918727	0.4358811082	0.5342520283	0.6209170738	0.7258678204	0.5280506562	0.5914761117	0.6080457081	0.5925085957	0.5706080829	0.6215442141	0.5940074319	0.8330778255	0.6745815777	0.4899420644	0.5164699924	0.5654590159	0.4342993135	0.5417029981	0.8134917687	0.7012484496	0.8061653470	0.6228171887	0.6217705133	0.6440482618	0.6697528303	0.7625910564	0.6804096706	0.6349844347	0.6431885832	0.6534623720	0.6307928497	0.8331802535	0.6679441550
ko00521	1.6023728615	0	0.9615722953	0	0.7044483181	0.6071289066	0.7940380425	0	1.1128509823	0.4741614891	0.8033391866	0	0.9280603132	1.0822949964	0	0.8830718161	0.8548959065	0	0.5849750994	0	0	0	0	0.9352725235	0.9476846884	0	0.9142010039	0	0.8178166222	0	0	0	0	0	0	0.8188144049	0.8550193485	1.1412054367
ko00523	0	0.4456178035	0	0.2928977044	0.2200088651	0	0	0.3472343168	0	0	0	0.4076754042	0	0	0.3876566791	0	0	0.2910776604	0	0.3069884625	0.3573194872	0.2339177819	0.4178215943	0	0	0.3815059578	0.3792370356	0.4320911415	0	0.4590837920	0.5396213339	0.3533794943	0.6520339586	0.7908559362	0.5275724552	0	0	0
ko00531	0.9415480817	1.0378949495	0.5351553052	0	0.4631392275	0.3269724348	0.4219883129	0.7521005031	0.9719222182	0	0.6521017291	0.6335843617	0.4618038898	0	0.7035949144	0	0	0.6322077212	0.3847735790	0	0.4008416294	0	0	0.8949788087	0.6533228996	0	0	0.5109449027	0.7486541088	0.7486496610	0.8935570588	0.7905796175	0.9909456261	0.9611767154	0	0.9112538483	0	0.8855292961
ko00540	0.7356341974	0.6351918305	0.3053846291	0.6336827310	0.7635705927	0.2770401781	0.3731541508	0.5974785838	0.7065110514	0.6900981583	0.3975197286	0.4321044010	0.3964034142	0.5031803766	0.4527622056	0.4835208577	0.4134066104	0.4594426726	0.2338018902	0.1075609979	0.1106232456	0.1400844556	0.1457798798	0.8341452708	0.6541068587	0.5963067653	0.4038287716	0.2649921778	0.4311745603	0.5409826150	0.5571020312	0.4832499116	0.4422463646	0.7814193068	0.6348800088	0.5080827969	0.4134609883	0.5591085680
ko00550	0.9195335348	0.7863256650	0.7524711811	0.6988706898	0.7888917687	0.5241307388	0.6937433832	0.7603579086	0.7443945214	0.5885996973	0.7093227928	0.7351063956	0.7296986815	0.8925856149	0.7989171537	0.6977106027	0.8646552524	0.7924168763	0.5980535324	0.6084874848	0.6485013496	0.6600124917	0.6104889820	0.9083225993	0.7643173166	0.8611773684	0.6719292385	0.7579441618	0.7108721382	0.7552004654	0.8017754417	0.7050267930	0.6085251577	0.7199403942	0.7927592424	0.7232101694	0.8647857609	0.7658432777
ko00561	0	0.1912918402	0.1407630646	0.2802432612	0.2446515436	0.1185904638	0.1545285051	0.1391353233	0.2075950377	0.2727576166	0	0.1493465929	0.1486612205	0	0.1546447429	0	0.2620968395	0.2716376270	0.1117647352	0.1361400284	0	0.1598502688	0	0.2379787029	0.2282618194	0.2194576825	0.1725334945	0.1964435036	0.1432966380	0.1787203149	0.1867205495	0.1780645334	0	0	0.3313738589	0.1966964884	0.2621313147	0.1508015467
ko00562	0	0.1063589904	0	0	0.1926735500	0	0	0.0892953247	0	0	0	0.0932580698	0	0	0.0851830065	0	0	0.0969287395	0	0	0	0	0	0	0	0	0.0845962463	0.1014870259	0	0.0890198210	0.0776968595	0.1330440135	0.1240641117	0	0	0	0	0
ko00564	0.1878139791	0.2321002970	0.1728967614	0.3674889867	0.3204135325	0.1590991159	0.1797552072	0.1761316638	0.2156461525	0.1827793249	0.1561998342	0.1896899158	0.1864566618	0.2542262896	0.1894362577	0.1967290149	0.2969453151	0.2370922754	0.1240068980	0.1315124272	0.1805057880	0.1902167784	0.1500426232	0.3065316941	0.2851049999	0.1832240005	0.1982468311	0.1861246094	0.1889760514	0.2032923077	0.2406807405	0.1775240328	0.1807713705	0.2356148508	0.2916866178	0.1922139480	0.2969843741	0.2068824831
ko00600	0	0	0.3164080668	0	0	0	0	0	0	0	0.3746995017	0	0	0	0	0	0.4074501013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5332618207	0	0	0.4074846476	0
ko00620	0.7197074310	0.6653548538	0.5683164740	0.7476537956	0.7168887620	0.4593224437	0.5364332382	0.6046270589	0.6962129934	0.5761298482	0.5824661427	0.5460326232	0.5909435291	0.6178358680	0.5646848113	0.6255501491	0.7235690072	0.6717644653	0.4569375035	0.5522285323	0.5056813275	0.4553110040	0.5897782915	0.7381919814	0.6794215148	0.7932116285	0.5941510125	0.6110206741	0.6182171453	0.6010199225	0.6411144568	0.6088929140	0.5984878750	0.6468092550	0.6175034245	0.5800981418	0.7236697011	0.6431690275
ko00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2171481358	0	0	0	0	0	0	0	0	0	0	0
